name,net_worth,age,country/territory,Sorce
Elon Musk,$187.6 B,51,United States,"Tesla, SpaceX"
Bernard Arnault & family,$174.7 B,73,France,LVMH
Gautam Adani,$140.8 B,60,India,"infrastructure, commodities"
Jeff Bezos,$116.8 B,58,United States,Amazon
Warren Buffett,$108.0 B,92,United States,Berkshire Hathaway
Bill Gates,$104.2 B,67,United States,Microsoft
Larry Ellison,$102.2 B,78,United States,Oracle
Mukesh Ambani,$92.6 B,65,India,diversified
Carlos Slim Helu & family,$87.1 B,82,Mexico,telecom
Larry Page,$84.4 B,49,United States,Google
Sergey Brin,$81.0 B,49,United States,Google
Steve Ballmer,$78.5 B,66,United States,Microsoft
Michael Bloomberg,$76.8 B,80,United States,Bloomberg LP
Francoise Bettencourt Meyers & family,$72.3 B,69,France,L'Oréal
Zhong Shanshan,$68.6 B,67,China,"beverages, pharmaceuticals"
Jim Walton,$63.3 B,74,United States,Walmart
Rob Walton,$62.0 B,78,United States,Walmart
Alice Walton,$61.1 B,73,United States,Walmart
Amancio Ortega,$60.8 B,86,Spain,Zara
Julia Koch & family,$59.2 B,60,United States,Koch Industries 
